"Date","P/E"
"01-Jan-2008","       25.48"
"02-Jan-2008","       26.36"
"03-Jan-2008","       25.98"
"04-Jan-2008","       26.32"
"07-Jan-2008","       26.73"
"08-Jan-2008","       26.63"
"09-Jan-2008","       26.34"
"10-Jan-2008","       26.24"
"11-Jan-2008","       27.09"
"14-Jan-2008","       27.44"
"15-Jan-2008","       26.85"
"16-Jan-2008","       26.54"
"17-Jan-2008","       26.32"
"18-Jan-2008","       24.98"
"21-Jan-2008","       22.75"
"22-Jan-2008","       21.39"
"23-Jan-2008","       22.58"
"24-Jan-2008","       22.16"
"25-Jan-2008","       22.84"
"28-Jan-2008","       23.98"
"29-Jan-2008","       23.17"
"30-Jan-2008","       22.57"
"31-Jan-2008","       22.15"
"01-Feb-2008","       22.39"
"04-Feb-2008","       22.95"
"05-Feb-2008","       22.56"
"06-Feb-2008","       22.05"
"07-Feb-2008","       21.51"
"08-Feb-2008","       21.16"
"11-Feb-2008","       20.21"
"12-Feb-2008","       20.50"
"13-Feb-2008","       21.07"
"14-Feb-2008","       21.98"
"15-Feb-2008","       22.59"
"18-Feb-2008","       22.65"
"19-Feb-2008","       22.70"
"20-Feb-2008","       21.99"
"21-Feb-2008","       21.55"
"22-Feb-2008","       20.92"
"25-Feb-2008","       20.87"
"26-Feb-2008","       21.06"
"27-Feb-2008","       21.00"
"28-Feb-2008","       20.73"
"29-Feb-2008","       20.93"
"03-Mar-2008","       19.38"
"04-Mar-2008","       18.63"
"05-Mar-2008","       18.28"
"07-Mar-2008","       17.51"
"10-Mar-2008","       17.52"
"11-Mar-2008","       17.72"
"12-Mar-2008","       17.68"
"13-Mar-2008","       16.66"
"14-Mar-2008","       17.25"
"17-Mar-2008","       15.92"
"18-Mar-2008","       15.71"
"19-Mar-2008","       15.68"
"24-Mar-2008","       16.11"
"25-Mar-2008","       17.35"
"26-Mar-2008","       17.29"
"27-Mar-2008","       16.92"
"28-Mar-2008","       17.09"
"31-Mar-2008","       16.16"
"01-Apr-2008","       16.04"
"02-Apr-2008","       16.44"
"03-Apr-2008","       16.38"
"04-Apr-2008","       15.89"
"07-Apr-2008","       16.59"
"08-Apr-2008","       16.66"
"09-Apr-2008","       17.14"
"10-Apr-2008","       16.69"
"11-Apr-2008","       16.60"
"15-Apr-2008","       16.79"
"16-Apr-2008","       16.88"
"17-Apr-2008","       17.40"
"21-Apr-2008","       17.91"
"22-Apr-2008","       18.14"
"23-Apr-2008","       17.67"
"24-Apr-2008","       17.60"
"25-Apr-2008","       18.14"
"28-Apr-2008","       17.82"
"29-Apr-2008","       18.17"
"30-Apr-2008","       17.67"
"02-May-2008","       18.23"
"05-May-2008","       17.88"
"06-May-2008","       17.79"
"07-May-2008","       17.41"
"08-May-2008","       16.91"
"09-May-2008","       16.39"
"12-May-2008","       16.46"
"13-May-2008","       16.48"
"14-May-2008","       16.45"
"15-May-2008","       16.64"
"16-May-2008","       16.94"
"20-May-2008","       16.53"
"21-May-2008","       16.32"
"22-May-2008","       15.82"
"23-May-2008","       15.52"
"26-May-2008","       14.98"
"27-May-2008","       14.62"
"28-May-2008","       15.03"
"29-May-2008","       14.58"
"30-May-2008","       14.60"
"02-Jun-2008","       14.07"
"03-Jun-2008","       13.97"
"04-Jun-2008","       13.56"
"05-Jun-2008","       13.77"
"06-Jun-2008","       13.62"
"09-Jun-2008","       13.19"
"10-Jun-2008","       12.89"
"11-Jun-2008","       13.24"
"12-Jun-2008","       13.30"
"13-Jun-2008","       13.29"
"16-Jun-2008","       13.59"
"17-Jun-2008","       14.25"
"18-Jun-2008","       13.75"
"19-Jun-2008","       13.21"
"20-Jun-2008","       12.77"
"23-Jun-2008","       12.41"
"24-Jun-2008","       12.18"
"25-Jun-2008","       12.16"
"26-Jun-2008","       12.22"
"27-Jun-2008","       11.56"
"30-Jun-2008","       11.15"
"01-Jul-2008","       10.50"
"02-Jul-2008","       11.15"
"03-Jul-2008","       10.76"
"04-Jul-2008","       11.37"
"07-Jul-2008","       11.56"
"08-Jul-2008","       11.63"
"09-Jul-2008","       12.17"
"10-Jul-2008","       12.16"
"11-Jul-2008","       11.94"
"14-Jul-2008","       11.78"
"15-Jul-2008","       10.95"
"16-Jul-2008","       10.69"
"17-Jul-2008","       11.39"
"18-Jul-2008","       12.19"
"21-Jul-2008","       12.74"
"22-Jul-2008","       13.17"
"23-Jul-2008","       14.42"
"24-Jul-2008","       14.13"
"25-Jul-2008","       13.40"
"28-Jul-2008","       13.10"
"29-Jul-2008","       11.98"
"30-Jul-2008","       12.59"
"31-Jul-2008","       12.62"
"01-Aug-2008","       13.13"
"04-Aug-2008","       13.19"
"05-Aug-2008","       14.03"
"06-Aug-2008","       13.93"
"07-Aug-2008","       14.01"
"08-Aug-2008","       14.20"
"11-Aug-2008","       14.80"
"12-Aug-2008","       14.29"
"13-Aug-2008","       14.03"
"14-Aug-2008","       13.28"
"18-Aug-2008","       13.24"
"19-Aug-2008","       13.19"
"20-Aug-2008","       13.27"
"21-Aug-2008","       12.58"
"22-Aug-2008","       12.72"
"25-Aug-2008","       12.91"
"26-Aug-2008","       13.09"
"27-Aug-2008","       12.82"
"28-Aug-2008","       12.60"
"29-Aug-2008","       13.44"
"01-Sep-2008","       13.50"
"02-Sep-2008","       14.33"
"04-Sep-2008","       14.30"
"05-Sep-2008","       13.85"
"08-Sep-2008","       14.40"
"09-Sep-2008","       14.19"
"10-Sep-2008","       14.15"
"11-Sep-2008","       13.94"
"12-Sep-2008","       13.64"
"15-Sep-2008","       13.21"
"16-Sep-2008","       13.51"
"17-Sep-2008","       13.02"
"18-Sep-2008","       13.38"
"19-Sep-2008","       13.90"
"22-Sep-2008","       13.88"
"23-Sep-2008","       13.29"
"24-Sep-2008","       13.46"
"25-Sep-2008","       13.39"
"26-Sep-2008","       12.84"
"29-Sep-2008","       12.20"
"30-Sep-2008","       12.78"
"01-Oct-2008","       13.18"
"03-Oct-2008","       12.76"
"06-Oct-2008","       12.25"
"07-Oct-2008","       12.02"
"08-Oct-2008","       11.50"
"10-Oct-2008","       10.88"
"13-Oct-2008","       12.02"
"14-Oct-2008","       12.20"
"15-Oct-2008","       11.86"
"16-Oct-2008","       11.99"
"17-Oct-2008","       11.26"
"20-Oct-2008","       11.42"
"21-Oct-2008","       11.71"
"22-Oct-2008","       10.87"
"23-Oct-2008","       10.52"
"24-Oct-2008","        9.19"
"27-Oct-2008","        8.46"
"28-Oct-2008","        8.92"
"29-Oct-2008","        8.85"
"31-Oct-2008","        9.29"
"03-Nov-2008","       10.02"
"04-Nov-2008","       10.73"
"05-Nov-2008","       10.53"
"06-Nov-2008","       10.15"
"07-Nov-2008","       10.37"
"10-Nov-2008","       10.81"
"11-Nov-2008","       10.17"
"12-Nov-2008","        9.76"
"14-Nov-2008","        9.70"
"17-Nov-2008","        9.34"
"18-Nov-2008","        8.93"
"19-Nov-2008","        8.70"
"20-Nov-2008","        8.40"
"21-Nov-2008","        8.84"
"24-Nov-2008","        8.56"
"25-Nov-2008","        8.33"
"26-Nov-2008","        8.77"
"28-Nov-2008","        8.82"
"01-Dec-2008","        8.48"
"02-Dec-2008","        8.43"
"03-Dec-2008","        8.67"
"04-Dec-2008","        9.14"
"05-Dec-2008","        8.96"
"08-Dec-2008","        9.10"
"10-Dec-2008","        9.35"
"11-Dec-2008","        9.45"
"12-Dec-2008","        9.57"
"15-Dec-2008","        9.68"
"16-Dec-2008","        9.91"
"17-Dec-2008","        9.84"
"18-Dec-2008","       10.53"
"19-Dec-2008","       10.57"
"22-Dec-2008","       10.35"
"23-Dec-2008","        9.99"
"24-Dec-2008","       10.13"
"26-Dec-2008","        9.84"
"29-Dec-2008","       10.18"
"30-Dec-2008","       10.40"
