"Date","P/E"
"03-Jan-2011","       29.39"
"04-Jan-2011","       29.47"
"05-Jan-2011","       29.45"
"06-Jan-2011","       29.60"
"07-Jan-2011","       28.77"
"10-Jan-2011","       28.71"
"11-Jan-2011","       28.23"
"12-Jan-2011","       28.74"
"13-Jan-2011","       27.32"
"14-Jan-2011","       27.33"
"17-Jan-2011","       27.76"
"18-Jan-2011","       28.10"
"19-Jan-2011","       27.74"
"20-Jan-2011","       28.07"
"21-Jan-2011","       27.67"
"24-Jan-2011","       27.82"
"25-Jan-2011","       27.62"
"27-Jan-2011","       27.26"
"28-Jan-2011","       26.92"
"31-Jan-2011","       26.39"
"01-Feb-2011","       26.11"
"02-Feb-2011","       26.35"
"03-Feb-2011","       26.49"
"04-Feb-2011","       25.93"
"07-Feb-2011","       25.97"
"08-Feb-2011","       25.89"
"09-Feb-2011","       25.82"
"10-Feb-2011","       25.41"
"11-Feb-2011","       25.41"
"14-Feb-2011","       26.03"
"15-Feb-2011","       25.98"
"16-Feb-2011","       25.99"
"17-Feb-2011","       26.11"
"18-Feb-2011","       25.88"
"21-Feb-2011","       26.58"
"22-Feb-2011","       26.40"
"23-Feb-2011","       25.98"
"24-Feb-2011","       25.41"
"25-Feb-2011","       25.31"
"28-Feb-2011","       25.29"
"01-Mar-2011","       25.91"
"03-Mar-2011","       25.74"
"04-Mar-2011","       25.83"
"07-Mar-2011","       25.59"
"08-Mar-2011","       26.07"
"09-Mar-2011","       26.03"
"10-Mar-2011","       25.90"
"11-Mar-2011","       25.50"
"14-Mar-2011","       25.88"
"15-Mar-2011","       25.37"
"16-Mar-2011","       25.54"
"17-Mar-2011","       25.16"
"18-Mar-2011","       24.86"
"21-Mar-2011","       24.67"
"22-Mar-2011","       24.78"
"23-Mar-2011","       25.02"
"24-Mar-2011","       25.27"
"25-Mar-2011","       25.77"
"28-Mar-2011","       25.70"
"29-Mar-2011","       25.97"
"30-Mar-2011","       26.07"
"31-Mar-2011","       26.58"
"01-Apr-2011","       26.44"
"04-Apr-2011","       27.02"
"05-Apr-2011","       27.20"
"06-Apr-2011","       27.04"
"07-Apr-2011","       26.83"
"08-Apr-2011","       26.66"
"11-Apr-2011","       26.62"
"13-Apr-2011","       27.18"
"15-Apr-2011","       24.76"
"18-Apr-2011","       24.07"
"19-Apr-2011","       24.13"
"20-Apr-2011","       24.62"
"21-Apr-2011","       24.48"
"25-Apr-2011","       24.35"
"26-Apr-2011","       24.32"
"27-Apr-2011","       24.20"
"28-Apr-2011","       23.92"
"29-Apr-2011","       23.90"
"02-May-2011","       23.87"
"03-May-2011","       23.60"
"04-May-2011","       23.36"
"05-May-2011","       23.11"
"06-May-2011","       23.53"
"09-May-2011","       23.51"
"10-May-2011","       23.43"
"11-May-2011","       23.54"
"12-May-2011","       23.25"
"13-May-2011","       23.39"
"16-May-2011","       23.22"
"17-May-2011","       23.22"
"18-May-2011","       23.29"
"19-May-2011","       23.33"
"20-May-2011","       23.41"
"23-May-2011","       23.23"
"24-May-2011","       23.20"
"25-May-2011","       22.85"
"26-May-2011","       22.82"
"27-May-2011","       23.02"
"30-May-2011","       23.26"
"31-May-2011","       23.43"
"01-Jun-2011","       23.67"
"02-Jun-2011","       23.55"
"03-Jun-2011","       23.51"
"06-Jun-2011","       23.72"
"07-Jun-2011","       24.03"
"08-Jun-2011","       23.94"
"09-Jun-2011","       23.89"
"10-Jun-2011","       23.87"
"13-Jun-2011","       23.86"
"14-Jun-2011","       23.94"
"15-Jun-2011","       23.67"
"16-Jun-2011","       23.26"
"17-Jun-2011","       22.81"
"20-Jun-2011","       22.13"
"21-Jun-2011","       22.38"
"22-Jun-2011","       22.42"
"23-Jun-2011","       22.63"
"24-Jun-2011","       23.35"
"27-Jun-2011","       23.44"
"28-Jun-2011","       23.42"
"29-Jun-2011","       23.58"
"30-Jun-2011","       23.77"
"01-Jul-2011","       23.95"
"04-Jul-2011","       23.99"
"05-Jul-2011","       24.07"
"06-Jul-2011","       24.06"
"07-Jul-2011","       24.36"
"08-Jul-2011","       24.13"
"11-Jul-2011","       23.73"
"12-Jul-2011","       22.65"
"13-Jul-2011","       22.62"
"14-Jul-2011","       22.33"
"15-Jul-2011","       22.14"
"18-Jul-2011","       21.97"
"19-Jul-2011","       22.21"
"20-Jul-2011","       22.03"
"21-Jul-2011","       22.06"
"22-Jul-2011","       22.42"
"25-Jul-2011","       22.41"
"26-Jul-2011","       22.40"
"27-Jul-2011","       22.24"
"28-Jul-2011","       21.89"
"29-Jul-2011","       21.97"
"01-Aug-2011","       22.12"
"02-Aug-2011","       21.75"
"03-Aug-2011","       21.55"
"04-Aug-2011","       21.34"
"05-Aug-2011","       20.49"
"08-Aug-2011","       19.58"
"09-Aug-2011","       18.89"
"10-Aug-2011","       19.36"
"11-Aug-2011","       19.25"
"12-Aug-2011","       18.77"
"16-Aug-2011","       18.95"
"17-Aug-2011","       19.29"
"18-Aug-2011","       18.52"
"19-Aug-2011","       17.72"
"22-Aug-2011","       17.68"
"23-Aug-2011","       18.38"
"24-Aug-2011","       18.15"
"25-Aug-2011","       17.71"
"26-Aug-2011","       17.68"
"29-Aug-2011","       18.55"
"30-Aug-2011","       18.94"
"02-Sep-2011","       18.71"
"05-Sep-2011","       18.42"
"06-Sep-2011","       18.65"
"07-Sep-2011","       18.68"
"08-Sep-2011","       18.96"
"09-Sep-2011","       18.55"
"12-Sep-2011","       17.93"
"13-Sep-2011","       18.09"
"14-Sep-2011","       18.86"
"15-Sep-2011","       19.29"
"16-Sep-2011","       19.09"
"19-Sep-2011","       18.92"
"20-Sep-2011","       19.51"
"21-Sep-2011","       19.49"
"22-Sep-2011","       18.72"
"23-Sep-2011","       18.66"
"26-Sep-2011","       18.73"
"27-Sep-2011","       19.39"
"28-Sep-2011","       19.55"
"29-Sep-2011","       19.97"
"30-Sep-2011","       19.74"
"03-Oct-2011","       19.42"
"04-Oct-2011","       19.24"
"05-Oct-2011","       19.23"
"07-Oct-2011","       19.61"
"10-Oct-2011","       20.22"
"11-Oct-2011","       19.67"
"12-Oct-2011","       20.42"
"13-Oct-2011","       20.57"
"14-Oct-2011","       21.05"
"17-Oct-2011","       20.97"
"18-Oct-2011","       19.48"
"19-Oct-2011","       19.76"
"20-Oct-2011","       19.81"
"21-Oct-2011","       19.73"
"24-Oct-2011","       20.06"
"25-Oct-2011","       20.58"
"26-Oct-2011","       20.48"
"28-Oct-2011","       20.77"
"31-Oct-2011","       20.78"
"01-Nov-2011","       20.63"
"02-Nov-2011","       20.67"
"03-Nov-2011","       20.50"
"04-Nov-2011","       20.61"
"08-Nov-2011","       20.66"
"09-Nov-2011","       20.72"
"11-Nov-2011","       20.51"
"14-Nov-2011","       20.66"
"15-Nov-2011","       20.58"
"16-Nov-2011","       20.37"
"17-Nov-2011","       20.22"
"18-Nov-2011","       20.06"
"21-Nov-2011","       19.62"
"22-Nov-2011","       20.09"
"23-Nov-2011","       19.61"
"24-Nov-2011","       19.90"
"25-Nov-2011","       19.49"
"28-Nov-2011","       19.82"
"29-Nov-2011","       19.68"
"30-Nov-2011","       19.81"
"01-Dec-2011","       20.24"
"02-Dec-2011","       20.67"
"05-Dec-2011","       20.69"
"07-Dec-2011","       21.01"
"08-Dec-2011","       20.86"
"09-Dec-2011","       20.71"
"12-Dec-2011","       20.91"
"13-Dec-2011","       20.96"
"14-Dec-2011","       20.93"
"15-Dec-2011","       20.80"
"16-Dec-2011","       20.64"
"19-Dec-2011","       20.40"
"20-Dec-2011","       20.22"
"21-Dec-2011","       20.70"
"22-Dec-2011","       20.52"
"23-Dec-2011","       20.46"
"26-Dec-2011","       20.94"
"27-Dec-2011","       20.83"
"28-Dec-2011","       20.82"
"29-Dec-2011","       20.63"
"30-Dec-2011","       20.73"
