"Date","P/E"
"01-Jan-2013","       16.44"
"02-Jan-2013","       16.43"
"03-Jan-2013","       16.61"
"04-Jan-2013","       16.76"
"07-Jan-2013","       16.83"
"08-Jan-2013","       16.76"
"09-Jan-2013","       16.63"
"10-Jan-2013","       16.55"
"11-Jan-2013","       18.10"
"14-Jan-2013","       18.52"
"15-Jan-2013","       18.43"
"16-Jan-2013","       18.40"
"17-Jan-2013","       18.65"
"18-Jan-2013","       18.24"
"21-Jan-2013","       18.19"
"22-Jan-2013","       18.05"
"23-Jan-2013","       18.02"
"24-Jan-2013","       18.06"
"25-Jan-2013","       18.22"
"28-Jan-2013","       18.28"
"29-Jan-2013","       18.20"
"30-Jan-2013","       18.18"
"31-Jan-2013","       18.16"
"01-Feb-2013","       18.09"
"04-Feb-2013","       18.08"
"05-Feb-2013","       18.03"
"06-Feb-2013","       18.13"
"07-Feb-2013","       18.17"
"08-Feb-2013","       18.32"
"11-Feb-2013","       18.26"
"12-Feb-2013","       18.17"
"13-Feb-2013","       18.42"
"14-Feb-2013","       18.46"
"15-Feb-2013","       18.37"
"18-Feb-2013","       18.29"
"19-Feb-2013","       18.56"
"20-Feb-2013","       18.67"
"21-Feb-2013","       18.59"
"22-Feb-2013","       18.73"
"25-Feb-2013","       19.01"
"26-Feb-2013","       19.17"
"27-Feb-2013","       18.95"
"28-Feb-2013","       19.04"
"01-Mar-2013","       19.07"
"04-Mar-2013","       19.03"
"05-Mar-2013","       19.29"
"06-Mar-2013","       19.57"
"07-Mar-2013","       19.85"
"08-Mar-2013","       19.71"
"11-Mar-2013","       19.57"
"12-Mar-2013","       19.43"
"13-Mar-2013","       19.21"
"14-Mar-2013","       19.32"
"15-Mar-2013","       19.36"
"18-Mar-2013","       19.29"
"19-Mar-2013","       19.16"
"20-Mar-2013","       19.18"
"21-Mar-2013","       19.21"
"22-Mar-2013","       19.08"
"25-Mar-2013","       19.04"
"26-Mar-2013","       19.12"
"28-Mar-2013","       19.34"
"01-Apr-2013","       19.39"
"02-Apr-2013","       19.55"
"03-Apr-2013","       19.41"
"04-Apr-2013","       18.88"
"05-Apr-2013","       18.81"
"08-Apr-2013","       18.62"
"09-Apr-2013","       18.43"
"10-Apr-2013","       18.80"
"11-Apr-2013","       19.22"
"12-Apr-2013","       16.93"
"15-Apr-2013","       16.90"
"16-Apr-2013","       16.79"
"17-Apr-2013","       16.42"
"18-Apr-2013","       16.41"
"22-Apr-2013","       16.11"
"23-Apr-2013","       16.21"
"25-Apr-2013","       15.95"
"26-Apr-2013","       15.72"
"29-Apr-2013","       15.71"
"30-Apr-2013","       15.79"
"02-May-2013","       16.18"
"03-May-2013","       16.23"
"06-May-2013","       16.54"
"07-May-2013","       16.61"
"08-May-2013","       16.64"
"09-May-2013","       16.82"
"10-May-2013","       16.85"
"11-May-2013","       16.80"
"13-May-2013","       16.56"
"14-May-2013","       16.58"
"15-May-2013","       16.66"
"16-May-2013","       16.49"
"17-May-2013","       16.59"
"20-May-2013","       16.65"
"21-May-2013","       16.81"
"22-May-2013","       16.83"
"23-May-2013","       16.72"
"24-May-2013","       16.60"
"27-May-2013","       16.81"
"28-May-2013","       16.85"
"29-May-2013","       16.71"
"30-May-2013","       16.70"
"31-May-2013","       16.91"
"03-Jun-2013","       17.12"
"04-Jun-2013","       17.03"
"05-Jun-2013","       16.92"
"06-Jun-2013","       16.86"
"07-Jun-2013","       17.09"
"10-Jun-2013","       17.37"
"11-Jun-2013","       17.23"
"12-Jun-2013","       16.93"
"13-Jun-2013","       16.66"
"14-Jun-2013","       16.75"
"17-Jun-2013","       16.91"
"18-Jun-2013","       16.99"
"19-Jun-2013","       16.94"
"20-Jun-2013","       16.56"
"21-Jun-2013","       16.89"
"24-Jun-2013","       16.72"
"25-Jun-2013","       16.61"
"26-Jun-2013","       16.90"
"27-Jun-2013","       17.46"
"28-Jun-2013","       17.58"
"01-Jul-2013","       17.30"
"02-Jul-2013","       17.16"
"03-Jul-2013","       17.10"
"04-Jul-2013","       17.58"
"05-Jul-2013","       17.50"
"08-Jul-2013","       17.51"
"09-Jul-2013","       17.64"
"10-Jul-2013","       17.73"
"11-Jul-2013","       18.02"
"12-Jul-2013","       19.21"
"15-Jul-2013","       19.10"
"16-Jul-2013","       19.05"
"17-Jul-2013","       19.19"
"18-Jul-2013","       19.25"
"19-Jul-2013","       19.72"
"22-Jul-2013","       20.35"
"23-Jul-2013","       20.48"
"24-Jul-2013","       20.64"
"25-Jul-2013","       20.65"
"26-Jul-2013","       20.60"
"29-Jul-2013","       20.63"
"30-Jul-2013","       20.57"
"31-Jul-2013","       20.34"
"01-Aug-2013","       20.31"
"02-Aug-2013","       20.52"
"05-Aug-2013","       20.68"
"06-Aug-2013","       20.58"
"07-Aug-2013","       20.29"
"08-Aug-2013","       20.38"
"12-Aug-2013","       20.48"
"13-Aug-2013","       20.83"
"14-Aug-2013","       20.78"
"16-Aug-2013","       20.30"
"19-Aug-2013","       20.00"
"20-Aug-2013","       19.78"
"21-Aug-2013","       19.52"
"22-Aug-2013","       20.07"
"23-Aug-2013","       20.36"
"26-Aug-2013","       20.53"
"27-Aug-2013","       20.58"
"28-Aug-2013","       21.09"
"29-Aug-2013","       21.28"
"30-Aug-2013","       21.63"
"02-Sep-2013","       21.66"
"03-Sep-2013","       22.15"
"04-Sep-2013","       22.67"
"05-Sep-2013","       22.00"
"06-Sep-2013","       22.03"
"10-Sep-2013","       22.55"
"11-Sep-2013","       22.45"
"12-Sep-2013","       22.18"
"13-Sep-2013","       21.92"
"16-Sep-2013","       21.50"
"17-Sep-2013","       21.87"
