"Date","P/E"
"02-Jan-2006","       40.03"
"03-Jan-2006","       40.74"
"04-Jan-2006","       41.34"
"05-Jan-2006","       41.13"
"06-Jan-2006","       41.07"
"09-Jan-2006","       40.62"
"10-Jan-2006","       40.17"
"12-Jan-2006","       39.82"
"13-Jan-2006","       39.70"
"16-Jan-2006","       39.07"
"17-Jan-2006","       38.78"
"18-Jan-2006","       38.85"
"19-Jan-2006","       40.31"
"20-Jan-2006","       40.35"
"23-Jan-2006","       39.64"
"24-Jan-2006","       40.21"
"25-Jan-2006","       40.60"
"27-Jan-2006","       41.07"
"30-Jan-2006","       41.15"
"31-Jan-2006","       41.54"
"01-Feb-2006","       41.14"
"02-Feb-2006","       40.82"
"03-Feb-2006","       41.34"
"06-Feb-2006","       41.96"
"07-Feb-2006","       42.17"
"08-Feb-2006","       41.99"
"10-Feb-2006","       42.15"
"13-Feb-2006","       41.93"
"14-Feb-2006","       41.13"
"15-Feb-2006","       41.02"
"16-Feb-2006","       41.07"
"17-Feb-2006","       41.21"
"20-Feb-2006","       41.56"
"21-Feb-2006","       41.73"
"22-Feb-2006","       41.71"
"23-Feb-2006","       41.88"
"24-Feb-2006","       41.56"
"27-Feb-2006","       42.29"
"28-Feb-2006","       42.16"
"01-Mar-2006","       43.21"
"02-Mar-2006","       43.05"
"03-Mar-2006","       42.65"
"06-Mar-2006","       43.13"
"07-Mar-2006","       42.66"
"08-Mar-2006","       42.10"
"09-Mar-2006","       42.39"
"10-Mar-2006","       43.35"
"13-Mar-2006","       44.21"
"14-Mar-2006","       43.74"
"16-Mar-2006","       43.97"
"17-Mar-2006","       44.24"
"20-Mar-2006","       45.53"
"21-Mar-2006","       45.27"
"22-Mar-2006","       44.75"
"23-Mar-2006","       44.49"
"24-Mar-2006","       44.94"
"27-Mar-2006","       44.63"
"28-Mar-2006","       45.13"
"29-Mar-2006","       45.98"
"30-Mar-2006","       47.17"
"31-Mar-2006","       46.47"
"03-Apr-2006","       47.62"
"04-Apr-2006","       47.62"
"05-Apr-2006","       47.22"
"07-Apr-2006","       46.42"
"10-Apr-2006","       46.53"
"12-Apr-2006","       44.66"
"13-Apr-2006","       44.24"
"17-Apr-2006","       46.75"
"18-Apr-2006","       48.72"
"19-Apr-2006","       48.07"
"20-Apr-2006","       47.92"
"21-Apr-2006","       47.69"
"24-Apr-2006","       46.76"
"25-Apr-2006","       45.84"
"26-Apr-2006","       46.75"
"27-Apr-2006","       46.21"
"28-Apr-2006","       46.10"
"29-Apr-2006","       46.40"
"02-May-2006","       46.59"
"03-May-2006","       46.93"
"04-May-2006","       47.18"
"05-May-2006","       46.94"
"08-May-2006","       47.15"
"09-May-2006","       47.27"
"10-May-2006","       47.49"
"11-May-2006","       47.35"
"12-May-2006","       47.09"
"15-May-2006","       46.03"
"16-May-2006","       46.08"
"17-May-2006","       47.00"
"18-May-2006","       44.47"
"19-May-2006","       43.07"
"22-May-2006","       40.66"
"23-May-2006","       42.10"
"24-May-2006","       41.29"
"25-May-2006","       42.29"
"26-May-2006","       42.55"
"29-May-2006","       42.64"
"30-May-2006","       43.07"
"31-May-2006","       38.74"
"01-Jun-2006","       37.63"
"02-Jun-2006","       31.07"
"05-Jun-2006","       30.42"
"06-Jun-2006","       29.78"
"07-Jun-2006","       29.25"
"08-Jun-2006","       28.02"
"09-Jun-2006","       28.98"
"12-Jun-2006","       28.38"
"13-Jun-2006","       27.00"
"14-Jun-2006","       25.86"
"15-Jun-2006","       27.66"
"16-Jun-2006","       29.15"
"19-Jun-2006","       29.24"
"20-Jun-2006","       28.60"
"21-Jun-2006","       29.45"
"22-Jun-2006","       29.98"
"23-Jun-2006","       30.55"
"25-Jun-2006","       30.65"
"26-Jun-2006","       29.67"
"27-Jun-2006","       30.13"
"28-Jun-2006","       30.55"
"29-Jun-2006","       30.79"
"30-Jun-2006","       31.79"
"03-Jul-2006","       32.18"
"04-Jul-2006","       32.20"
"05-Jul-2006","       32.50"
"06-Jul-2006","       32.06"
"07-Jul-2006","       31.12"
"10-Jul-2006","       32.22"
"11-Jul-2006","       32.00"
"12-Jul-2006","       32.93"
"13-Jul-2006","       32.54"
"14-Jul-2006","       32.16"
"17-Jul-2006","       31.45"
"18-Jul-2006","       31.54"
"19-Jul-2006","       29.16"
"20-Jul-2006","       29.93"
"21-Jul-2006","       28.66"
"24-Jul-2006","       29.25"
"25-Jul-2006","       29.54"
"26-Jul-2006","       30.16"
"27-Jul-2006","       30.58"
"28-Jul-2006","       29.92"
"31-Jul-2006","       29.83"
"01-Aug-2006","       30.00"
"02-Aug-2006","       30.32"
"03-Aug-2006","       30.51"
"04-Aug-2006","       30.56"
"07-Aug-2006","       30.18"
"08-Aug-2006","       30.59"
"09-Aug-2006","       30.97"
"10-Aug-2006","       31.19"
"11-Aug-2006","       31.31"
"14-Aug-2006","       31.55"
"16-Aug-2006","       31.70"
"17-Aug-2006","       31.58"
"18-Aug-2006","       31.66"
"21-Aug-2006","       31.77"
"22-Aug-2006","       31.76"
"23-Aug-2006","       31.52"
"24-Aug-2006","       31.70"
"25-Aug-2006","       31.70"
"28-Aug-2006","       31.88"
"29-Aug-2006","       32.30"
"30-Aug-2006","       32.22"
"31-Aug-2006","       32.20"
"01-Sep-2006","       32.25"
"04-Sep-2006","       32.76"
"05-Sep-2006","       32.58"
"06-Sep-2006","       32.53"
"07-Sep-2006","       32.14"
"08-Sep-2006","       32.06"
"11-Sep-2006","       31.13"
"12-Sep-2006","       31.71"
"13-Sep-2006","       32.33"
"14-Sep-2006","       32.57"
"15-Sep-2006","       32.37"
"18-Sep-2006","       32.42"
"19-Sep-2006","       32.53"
"20-Sep-2006","       32.90"
"21-Sep-2006","       33.33"
"22-Sep-2006","       32.98"
"25-Sep-2006","       32.60"
"26-Sep-2006","       33.09"
"27-Sep-2006","       32.99"
"28-Sep-2006","       32.87"
"29-Sep-2006","       32.94"
"03-Oct-2006","       32.73"
"04-Oct-2006","       32.13"
"05-Oct-2006","       32.86"
"06-Oct-2006","       32.78"
"09-Oct-2006","       32.96"
"10-Oct-2006","       33.15"
"11-Oct-2006","       33.07"
"12-Oct-2006","       33.93"
"13-Oct-2006","       34.62"
"16-Oct-2006","       35.12"
"17-Oct-2006","       33.80"
"18-Oct-2006","       32.97"
"19-Oct-2006","       32.61"
"20-Oct-2006","       32.31"
"21-Oct-2006","       32.39"
"23-Oct-2006","       32.09"
"26-Oct-2006","       32.41"
"27-Oct-2006","       32.51"
"30-Oct-2006","       32.56"
"31-Oct-2006","       32.21"
"01-Nov-2006","       30.90"
"02-Nov-2006","       30.70"
"03-Nov-2006","       30.50"
"06-Nov-2006","       30.54"
"07-Nov-2006","       30.67"
"08-Nov-2006","       30.78"
"09-Nov-2006","       30.94"
"10-Nov-2006","       31.08"
"13-Nov-2006","       31.32"
"14-Nov-2006","       31.87"
"15-Nov-2006","       31.82"
"16-Nov-2006","       31.81"
"17-Nov-2006","       31.66"
"20-Nov-2006","       32.26"
"21-Nov-2006","       32.87"
"22-Nov-2006","       33.08"
"23-Nov-2006","       33.00"
"24-Nov-2006","       33.19"
"27-Nov-2006","       33.37"
"28-Nov-2006","       32.69"
"29-Nov-2006","       32.75"
"30-Nov-2006","       33.35"
"01-Dec-2006","       33.46"
"04-Dec-2006","       33.37"
"05-Dec-2006","       33.61"
"06-Dec-2006","       33.63"
"07-Dec-2006","       33.41"
"08-Dec-2006","       33.20"
"11-Dec-2006","       32.90"
"12-Dec-2006","       32.04"
"13-Dec-2006","       32.09"
"14-Dec-2006","       32.94"
"15-Dec-2006","       33.20"
"18-Dec-2006","       33.56"
"19-Dec-2006","       32.57"
"20-Dec-2006","       32.36"
"21-Dec-2006","       32.38"
"22-Dec-2006","       32.79"
"26-Dec-2006","       33.78"
"27-Dec-2006","       34.24"
"28-Dec-2006","       34.38"
"29-Dec-2006","       34.40"
