"Date","P/E"
"01-Jan-1997","       10.38"
"02-Jan-1997","       10.33"
"03-Jan-1997","       10.40"
"06-Jan-1997","       10.55"
"07-Jan-1997","       10.45"
"08-Jan-1997","       10.51"
"09-Jan-1997","       10.71"
"10-Jan-1997","       11.03"
"13-Jan-1997","       11.11"
"14-Jan-1997","       11.17"
"15-Jan-1997","       11.74"
"16-Jan-1997","       11.40"
"17-Jan-1997","       11.21"
"20-Jan-1997","       11.11"
"21-Jan-1997","       10.93"
"22-Jan-1997","       10.99"
"24-Jan-1997","       10.99"
"27-Jan-1997","       11.17"
"28-Jan-1997","       11.16"
"29-Jan-1997","       11.08"
"30-Jan-1997","       11.05"
"31-Jan-1997","       10.89"
"03-Feb-1997","       10.12"
"04-Feb-1997","       10.19"
"05-Feb-1997","       10.26"
"06-Feb-1997","       10.30"
"07-Feb-1997","       10.39"
"10-Feb-1997","       10.42"
"11-Feb-1997","       10.48"
"12-Feb-1997","       10.54"
"13-Feb-1997","       10.58"
"14-Feb-1997","       10.57"
"17-Feb-1997","       10.79"
"18-Feb-1997","       10.82"
"19-Feb-1997","       10.91"
"20-Feb-1997","       10.95"
"21-Feb-1997","       10.77"
"24-Feb-1997","       10.75"
"25-Feb-1997","       10.74"
"26-Feb-1997","       10.79"
"27-Feb-1997","       10.96"
"28-Feb-1997","       11.53"
"01-Mar-1997","       12.17"
"03-Mar-1997","       12.61"
"04-Mar-1997","       12.57"
"05-Mar-1997","       12.68"
"06-Mar-1997","       12.38"
"10-Mar-1997","       12.05"
"11-Mar-1997","       11.91"
"12-Mar-1997","       12.05"
"13-Mar-1997","       12.11"
"14-Mar-1997","       12.05"
"17-Mar-1997","       12.02"
"18-Mar-1997","       11.81"
"19-Mar-1997","       11.72"
"20-Mar-1997","       11.67"
"21-Mar-1997","       11.64"
"25-Mar-1997","       11.94"
"26-Mar-1997","       12.02"
"27-Mar-1997","       12.09"
"28-Mar-1997","       12.15"
"31-Mar-1997","        9.83"
"01-Apr-1997","        9.77"
"02-Apr-1997","       10.08"
"03-Apr-1997","       10.37"
"04-Apr-1997","       10.61"
"07-Apr-1997","       10.54"
"09-Apr-1997","       10.81"
"10-Apr-1997","       10.51"
"11-Apr-1997","       10.42"
"12-Apr-1997","       10.63"
"15-Apr-1997","       10.77"
"17-Apr-1997","       11.07"
"21-Apr-1997","       11.46"
"22-Apr-1997","       11.45"
"23-Apr-1997","       11.69"
"24-Apr-1997","       11.67"
"25-Apr-1997","       11.70"
"28-Apr-1997","       11.97"
"29-Apr-1997","       12.06"
"30-Apr-1997","       12.42"
"02-May-1997","       12.40"
"05-May-1997","       12.09"
"06-May-1997","       12.05"
"07-May-1997","       12.12"
"09-May-1997","       12.37"
"12-May-1997","       12.51"
"13-May-1997","       12.51"
"14-May-1997","       12.58"
"15-May-1997","       12.53"
"16-May-1997","       12.68"
"19-May-1997","       12.82"
"20-May-1997","       12.72"
"21-May-1997","       12.49"
"22-May-1997","       12.38"
"23-May-1997","       12.28"
"26-May-1997","       12.35"
"27-May-1997","       12.29"
"28-May-1997","       12.20"
"29-May-1997","       12.33"
"30-May-1997","       12.47"
"02-Jun-1997","       12.53"
"03-Jun-1997","       12.58"
"04-Jun-1997","       12.74"
"05-Jun-1997","       12.83"
"06-Jun-1997","       12.83"
"09-Jun-1997","       12.84"
"10-Jun-1997","       13.95"
"11-Jun-1997","       14.25"
"12-Jun-1997","       14.26"
"13-Jun-1997","       14.29"
"16-Jun-1997","       13.79"
"17-Jun-1997","       14.15"
"18-Jun-1997","       14.45"
"19-Jun-1997","       14.32"
"20-Jun-1997","       14.17"
"23-Jun-1997","       13.99"
"24-Jun-1997","       14.02"
"25-Jun-1997","       14.03"
"26-Jun-1997","       14.17"
"27-Jun-1997","       14.09"
"30-Jun-1997","       14.84"
"01-Jul-1997","       14.93"
"02-Jul-1997","       15.07"
"03-Jul-1997","       14.98"
"04-Jul-1997","       15.22"
