"Date","P/E"
"01-Jan-2002","       15.29"
"02-Jan-2002","       15.37"
"03-Jan-2002","       15.54"
"04-Jan-2002","       15.89"
"07-Jan-2002","       15.94"
"08-Jan-2002","       16.09"
"09-Jan-2002","       15.98"
"10-Jan-2002","       15.91"
"11-Jan-2002","       15.78"
"14-Jan-2002","       16.08"
"15-Jan-2002","       15.61"
"16-Jan-2002","       15.56"
"17-Jan-2002","       17.57"
"18-Jan-2002","       17.32"
"21-Jan-2002","       17.29"
"22-Jan-2002","       17.31"
"23-Jan-2002","       17.26"
"24-Jan-2002","       17.19"
"25-Jan-2002","       17.06"
"28-Jan-2002","       16.93"
"29-Jan-2002","       16.93"
"30-Jan-2002","       16.87"
"31-Jan-2002","       16.99"
"01-Feb-2002","       17.42"
"04-Feb-2002","       17.34"
"05-Feb-2002","       17.30"
"06-Feb-2002","       17.92"
"07-Feb-2002","       17.88"
"08-Feb-2002","       18.09"
"11-Feb-2002","       18.22"
"12-Feb-2002","       18.19"
"13-Feb-2002","       18.28"
"14-Feb-2002","       18.52"
"15-Feb-2002","       18.68"
"18-Feb-2002","       18.88"
"19-Feb-2002","       18.66"
"20-Feb-2002","       18.44"
"21-Feb-2002","       18.50"
"22-Feb-2002","       18.72"
"25-Feb-2002","       18.76"
"26-Feb-2002","       19.14"
"27-Feb-2002","       19.14"
"28-Feb-2002","       18.38"
"01-Mar-2002","       18.96"
"04-Mar-2002","       18.97"
"05-Mar-2002","       18.99"
"06-Mar-2002","       18.79"
"07-Mar-2002","       19.11"
"08-Mar-2002","       19.03"
"11-Mar-2002","       18.71"
"12-Mar-2002","       18.43"
"13-Mar-2002","       18.54"
"14-Mar-2002","       18.58"
"15-Mar-2002","       18.74"
"18-Mar-2002","       18.73"
"19-Mar-2002","       18.46"
"20-Mar-2002","       18.51"
"21-Mar-2002","       18.33"
"22-Mar-2002","       18.24"
"26-Mar-2002","       17.99"
"27-Mar-2002","       18.00"
"28-Mar-2002","       18.10"
"01-Apr-2002","       18.25"
"02-Apr-2002","       18.22"
"03-Apr-2002","       18.00"
"04-Apr-2002","       18.36"
"05-Apr-2002","       18.30"
"08-Apr-2002","       17.91"
"09-Apr-2002","       17.78"
"10-Apr-2002","       18.01"
"11-Apr-2002","       18.09"
"12-Apr-2002","       18.14"
"15-Apr-2002","       17.94"
"16-Apr-2002","       17.70"
"17-Apr-2002","       17.80"
"18-Apr-2002","       18.49"
"19-Apr-2002","       18.02"
"22-Apr-2002","       18.02"
"23-Apr-2002","       18.05"
"24-Apr-2002","       18.16"
"25-Apr-2002","       17.85"
"26-Apr-2002","       17.90"
"29-Apr-2002","       17.69"
"30-Apr-2002","       17.86"
"02-May-2002","       18.08"
"03-May-2002","       18.04"
"06-May-2002","       18.10"
"07-May-2002","       18.26"
"08-May-2002","       18.38"
"09-May-2002","       18.54"
"10-May-2002","       18.36"
"13-May-2002","       18.16"
"14-May-2002","       17.99"
"15-May-2002","       17.87"
"16-May-2002","       17.63"
"17-May-2002","       17.49"
"20-May-2002","       17.23"
"21-May-2002","       16.82"
"22-May-2002","       16.60"
"23-May-2002","       16.31"
"24-May-2002","       16.95"
"27-May-2002","       16.88"
"28-May-2002","       16.49"
"29-May-2002","       16.54"
"30-May-2002","       16.72"
"31-May-2002","       16.19"
"03-Jun-2002","       16.39"
"04-Jun-2002","       16.48"
"05-Jun-2002","       16.78"
"06-Jun-2002","       16.42"
"07-Jun-2002","       16.18"
"10-Jun-2002","       16.51"
"11-Jun-2002","       16.93"
"12-Jun-2002","       16.87"
"13-Jun-2002","       16.72"
"14-Jun-2002","       16.74"
"17-Jun-2002","       16.80"
"18-Jun-2002","       16.58"
"19-Jun-2002","       16.40"
"20-Jun-2002","       15.86"
"21-Jun-2002","       15.75"
"24-Jun-2002","       15.74"
"25-Jun-2002","       15.64"
"26-Jun-2002","       15.48"
"27-Jun-2002","       15.56"
"28-Jun-2002","       15.73"
"01-Jul-2002","       15.90"
"02-Jul-2002","       15.88"
"03-Jul-2002","       15.91"
"04-Jul-2002","       15.92"
"05-Jul-2002","       15.97"
"08-Jul-2002","       16.09"
"09-Jul-2002","       16.07"
"10-Jul-2002","       15.94"
"11-Jul-2002","       15.71"
"12-Jul-2002","       15.74"
"15-Jul-2002","       15.59"
"16-Jul-2002","       15.41"
"17-Jul-2002","       15.36"
"18-Jul-2002","       15.49"
"19-Jul-2002","       15.41"
"22-Jul-2002","       15.05"
"23-Jul-2002","       15.20"
"24-Jul-2002","       14.93"
"25-Jul-2002","       14.90"
"26-Jul-2002","       14.48"
"29-Jul-2002","       14.45"
"30-Jul-2002","       14.29"
"31-Jul-2002","       14.26"
"01-Aug-2002","       14.24"
"02-Aug-2002","       14.20"
"05-Aug-2002","       14.33"
"06-Aug-2002","       14.38"
"07-Aug-2002","       14.41"
"08-Aug-2002","       14.19"
"09-Aug-2002","       14.31"
"12-Aug-2002","       14.43"
"13-Aug-2002","       14.52"
"14-Aug-2002","       14.43"
"16-Aug-2002","       14.57"
"19-Aug-2002","       14.58"
"20-Aug-2002","       14.71"
"21-Aug-2002","       14.71"
"22-Aug-2002","       14.66"
"23-Aug-2002","       14.81"
"26-Aug-2002","       14.86"
"27-Aug-2002","       14.70"
"28-Aug-2002","       14.67"
"29-Aug-2002","       14.69"
"30-Aug-2002","       15.04"
"02-Sep-2002","       15.08"
"03-Sep-2002","       14.90"
"04-Sep-2002","       14.98"
"05-Sep-2002","       15.01"
"06-Sep-2002","       14.81"
"09-Sep-2002","       14.86"
"11-Sep-2002","       14.86"
"12-Sep-2002","       14.90"
"13-Sep-2002","       14.76"
"16-Sep-2002","       14.67"
"17-Sep-2002","       14.80"
"18-Sep-2002","       14.63"
"19-Sep-2002","       14.52"
"20-Sep-2002","       14.43"
"23-Sep-2002","       14.44"
"24-Sep-2002","       14.38"
"25-Sep-2002","       14.43"
"26-Sep-2002","       14.43"
"27-Sep-2002","       14.53"
"30-Sep-2002","       14.33"
"01-Oct-2002","       14.21"
"03-Oct-2002","       14.11"
"04-Oct-2002","       14.11"
"07-Oct-2002","       14.21"
"08-Oct-2002","       14.30"
"09-Oct-2002","       14.21"
"10-Oct-2002","       14.22"
"11-Oct-2002","       14.40"
"14-Oct-2002","       14.42"
"16-Oct-2002","       14.44"
"17-Oct-2002","       14.44"
"18-Oct-2002","       14.41"
"21-Oct-2002","       14.35"
"22-Oct-2002","       14.28"
"23-Oct-2002","       14.20"
"24-Oct-2002","       14.05"
"25-Oct-2002","       13.83"
"28-Oct-2002","       14.03"
"29-Oct-2002","       14.25"
"30-Oct-2002","       14.26"
"31-Oct-2002","       14.47"
"01-Nov-2002","       14.47"
"04-Nov-2002","       14.63"
"05-Nov-2002","       14.63"
"07-Nov-2002","       14.61"
"08-Nov-2002","       14.55"
"11-Nov-2002","       14.51"
"12-Nov-2002","       14.60"
"13-Nov-2002","       14.64"
"14-Nov-2002","       14.78"
"15-Nov-2002","       15.06"
"18-Nov-2002","       15.16"
"20-Nov-2002","       15.23"
"21-Nov-2002","       15.34"
"22-Nov-2002","       13.84"
"25-Nov-2002","       13.92"
"26-Nov-2002","       14.05"
"27-Nov-2002","       13.98"
"28-Nov-2002","       14.24"
"29-Nov-2002","       14.24"
"02-Dec-2002","       14.48"
"03-Dec-2002","       14.31"
"04-Dec-2002","       14.06"
"05-Dec-2002","       14.19"
"06-Dec-2002","       14.51"
"09-Dec-2002","       14.36"
"10-Dec-2002","       14.43"
"11-Dec-2002","       14.51"
"12-Dec-2002","       14.61"
"13-Dec-2002","       14.73"
"16-Dec-2002","       14.63"
"17-Dec-2002","       14.56"
"18-Dec-2002","       14.62"
"19-Dec-2002","       14.59"
"20-Dec-2002","       14.64"
"23-Dec-2002","       14.59"
"24-Dec-2002","       14.72"
"26-Dec-2002","       14.85"
"27-Dec-2002","       14.90"
"30-Dec-2002","       14.81"
