"Date","P/E"
"01-Jan-1999","       11.62"
"04-Jan-1999","       11.72"
"05-Jan-1999","       11.84"
"06-Jan-1999","       12.11"
"07-Jan-1999","       12.46"
"08-Jan-1999","       12.92"
"11-Jan-1999","       12.86"
"12-Jan-1999","       12.59"
"13-Jan-1999","       12.54"
"14-Jan-1999","       12.46"
"15-Jan-1999","       12.19"
"18-Jan-1999","       12.33"
"19-Jan-1999","       12.06"
"21-Jan-1999","       12.84"
"22-Jan-1999","       12.71"
"25-Jan-1999","       12.61"
"27-Jan-1999","       12.90"
"28-Jan-1999","       12.68"
"29-Jan-1999","       12.83"
"01-Feb-1999","       12.48"
"02-Feb-1999","       12.36"
"03-Feb-1999","       12.64"
"04-Feb-1999","       12.48"
"05-Feb-1999","       12.43"
"08-Feb-1999","       12.17"
"09-Feb-1999","       12.28"
"10-Feb-1999","       12.74"
"11-Feb-1999","       12.75"
"12-Feb-1999","       12.88"
"15-Feb-1999","       12.67"
"16-Feb-1999","       12.73"
"17-Feb-1999","       12.87"
"18-Feb-1999","       12.92"
"19-Feb-1999","       12.96"
"22-Feb-1999","       12.66"
"23-Feb-1999","       12.61"
"24-Feb-1999","       12.72"
"25-Feb-1999","       12.68"
"26-Feb-1999","       12.51"
"27-Feb-1999","       13.04"
"01-Mar-1999","       13.50"
"03-Mar-1999","       13.98"
"04-Mar-1999","       13.83"
"05-Mar-1999","       14.01"
"08-Mar-1999","       14.25"
"09-Mar-1999","       14.33"
"10-Mar-1999","       14.35"
"11-Mar-1999","       14.09"
"12-Mar-1999","       14.26"
"15-Mar-1999","       14.28"
"16-Mar-1999","       14.00"
"17-Mar-1999","       14.10"
"18-Mar-1999","       14.29"
"19-Mar-1999","       14.13"
"20-Mar-1999","       14.10"
"22-Mar-1999","       14.13"
"23-Mar-1999","       14.27"
"24-Mar-1999","       14.13"
"25-Mar-1999","       14.03"
"26-Mar-1999","       13.85"
"30-Mar-1999","       14.02"
"31-Mar-1999","       16.53"
"01-Apr-1999","       16.31"
"05-Apr-1999","       15.51"
"06-Apr-1999","       15.71"
"07-Apr-1999","       15.81"
"08-Apr-1999","       15.65"
"09-Apr-1999","       15.24"
"12-Apr-1999","       15.31"
"13-Apr-1999","       15.25"
"15-Apr-1999","       14.87"
"16-Apr-1999","       16.04"
"17-Apr-1999","       14.85"
"19-Apr-1999","       15.26"
"20-Apr-1999","       15.29"
"21-Apr-1999","       15.31"
"22-Apr-1999","       15.08"
"23-Apr-1999","       15.08"
"26-Apr-1999","       14.30"
"28-Apr-1999","       14.49"
"29-Apr-1999","       14.84"
"30-Apr-1999","       15.02"
"03-May-1999","       14.95"
"04-May-1999","       15.53"
"05-May-1999","       15.73"
"06-May-1999","       16.15"
"07-May-1999","       16.40"
"10-May-1999","       16.88"
"11-May-1999","       17.21"
