"Date","P/E"
"01-Jan-2008","       27.64"
"02-Jan-2008","       27.80"
"03-Jan-2008","       27.80"
"04-Jan-2008","       28.23"
"07-Jan-2008","       28.25"
"08-Jan-2008","       28.29"
"09-Jan-2008","       28.22"
"10-Jan-2008","       27.70"
"11-Jan-2008","       27.86"
"14-Jan-2008","       27.89"
"15-Jan-2008","       27.30"
"16-Jan-2008","       26.67"
"17-Jan-2008","       25.47"
"18-Jan-2008","       24.49"
"21-Jan-2008","       22.33"
"22-Jan-2008","       20.96"
"23-Jan-2008","       22.26"
"24-Jan-2008","       21.52"
"25-Jan-2008","       22.88"
"28-Jan-2008","       22.60"
"29-Jan-2008","       22.55"
"30-Jan-2008","       22.02"
"31-Jan-2008","       21.97"
"01-Feb-2008","       22.68"
"04-Feb-2008","       23.31"
"05-Feb-2008","       23.40"
"06-Feb-2008","       22.71"
"07-Feb-2008","       21.90"
"08-Feb-2008","       21.85"
"11-Feb-2008","       20.72"
"12-Feb-2008","       20.64"
"13-Feb-2008","       21.03"
"14-Feb-2008","       22.19"
"15-Feb-2008","       22.62"
"18-Feb-2008","       22.51"
"19-Feb-2008","       22.52"
"20-Feb-2008","       21.98"
"21-Feb-2008","       22.14"
"22-Feb-2008","       21.79"
"25-Feb-2008","       22.17"
"26-Feb-2008","       22.47"
"27-Feb-2008","       22.46"
"28-Feb-2008","       22.53"
"29-Feb-2008","       22.27"
"03-Mar-2008","       21.12"
"04-Mar-2008","       20.74"
"05-Mar-2008","       20.98"
"07-Mar-2008","       20.35"
"10-Mar-2008","       20.47"
"11-Mar-2008","       20.75"
"12-Mar-2008","       20.78"
"13-Mar-2008","       19.72"
"14-Mar-2008","       20.68"
"17-Mar-2008","       19.62"
"18-Mar-2008","       19.75"
"19-Mar-2008","       19.93"
"24-Mar-2008","       20.09"
"25-Mar-2008","       21.25"
"26-Mar-2008","       21.05"
"27-Mar-2008","       21.05"
"28-Mar-2008","       21.54"
"31-Mar-2008","       20.63"
"01-Apr-2008","       20.66"
"02-Apr-2008","       20.72"
"03-Apr-2008","       20.80"
"04-Apr-2008","       20.25"
"07-Apr-2008","       20.75"
"08-Apr-2008","       20.53"
"09-Apr-2008","       20.69"
"10-Apr-2008","       20.63"
"11-Apr-2008","       20.82"
"15-Apr-2008","       21.26"
"16-Apr-2008","       21.29"
"17-Apr-2008","       21.60"
"21-Apr-2008","       21.92"
"22-Apr-2008","       21.80"
"23-Apr-2008","       21.69"
"24-Apr-2008","       21.57"
"25-Apr-2008","       21.96"
"28-Apr-2008","       21.85"
"29-Apr-2008","       22.31"
"30-Apr-2008","       22.17"
"02-May-2008","       22.42"
"05-May-2008","       22.20"
"06-May-2008","       22.02"
"07-May-2008","       21.98"
"08-May-2008","       21.75"
