"Date","Open","High","Low","Close","Shares Traded","Turnover (Rs. Cr)"
"02-Jan-2007","-","-","-","     2781.67","        1596249","           84.69"
"03-Jan-2007","-","-","-","     2814.32","        4537654","          227.12"
"04-Jan-2007","-","-","-","     2817.14","        4229831","          229.56"
"05-Jan-2007","-","-","-","     2795.41","        2858046","          150.65"
"08-Jan-2007","-","-","-","     2782.94","        3996657","          191.03"
"09-Jan-2007","-","-","-","     2753.10","        3157759","          155.97"
"10-Jan-2007","-","-","-","     2712.70","        2653034","          112.66"
"11-Jan-2007","-","-","-","     2773.81","        2177975","          116.82"
"12-Jan-2007","-","-","-","     2824.26","        3129741","          161.26"
"15-Jan-2007","-","-","-","     2848.53","        3227651","          152.15"
"16-Jan-2007","-","-","-","     2842.13","        2285415","          103.77"
"17-Jan-2007","-","-","-","     2865.20","        2705064","          132.12"
"18-Jan-2007","-","-","-","     2882.60","       10700000","          486.83"
"19-Jan-2007","-","-","-","     2841.31","        6439367","          293.18"
"22-Jan-2007","-","-","-","     2863.93","        4613566","          263.21"
"23-Jan-2007","-","-","-","     2810.58","        4382134","          267.65"
"24-Jan-2007","-","-","-","     2769.83","        3733990","          183.38"
"25-Jan-2007","-","-","-","     2774.92","        5202833","          226.39"
"29-Jan-2007","-","-","-","     2777.90","        3719732","          168.52"
"31-Jan-2007","-","-","-","     2774.34","        3149416","          157.07"
"01-Feb-2007","-","-","-","     2785.21","        1898429","          105.34"
"02-Feb-2007","-","-","-","     2807.12","        3798349","          170.03"
"05-Feb-2007","-","-","-","     2815.57","        2393725","          119.15"
"06-Feb-2007","-","-","-","     2819.62","        4332678","          204.18"
"07-Feb-2007","-","-","-","     2843.40","        4138250","          187.01"
"08-Feb-2007","-","-","-","     2833.68","        2749223","          129.14"
"09-Feb-2007","-","-","-","     2796.00","        2389279","          116.91"
"12-Feb-2007","-","-","-","     2719.82","        2385025","          114.79"
"13-Feb-2007","-","-","-","     2703.39","        2567186","          117.83"
"14-Feb-2007","-","-","-","     2719.28","        1906295","           89.90"
"15-Feb-2007","-","-","-","     2776.27","        7180882","          306.05"
"19-Feb-2007","-","-","-","     2775.98","        3501842","          153.89"
"20-Feb-2007","-","-","-","     2769.86","        5945129","          282.95"
"21-Feb-2007","-","-","-","     2763.67","        5345214","          263.40"
"22-Feb-2007","-","-","-","     2699.65","        7083024","          366.48"
"23-Feb-2007","-","-","-","     2630.82","        5358676","          245.48"
"26-Feb-2007","-","-","-","     2650.43","        3710601","          172.93"
"27-Feb-2007","-","-","-","     2639.07","        3106848","          153.76"
"28-Feb-2007","-","-","-","     2549.39","        5868233","          285.54"
"01-Mar-2007","-","-","-","     2576.09","        5303076","          236.00"
"02-Mar-2007","-","-","-","     2555.01","        4144669","          201.74"
"05-Mar-2007","-","-","-","     2442.99","        3539736","          145.06"
"06-Mar-2007","-","-","-","     2478.61","        4932135","          228.22"
"07-Mar-2007","-","-","-","     2492.64","        5321083","          219.47"
"08-Mar-2007","-","-","-","     2568.60","        4574442","          187.74"
"09-Mar-2007","-","-","-","     2564.81","        2831573","          134.85"
"12-Mar-2007","-","-","-","     2591.39","        2636974","          116.03"
"13-Mar-2007","-","-","-","     2617.94","        2739645","          125.05"
"14-Mar-2007","-","-","-","     2581.41","        3242953","          150.93"
"15-Mar-2007","-","-","-","     2592.73","        4217218","          206.43"
"16-Mar-2007","-","-","-","     2582.18","        2628318","          125.56"
"19-Mar-2007","-","-","-","     2593.49","        1746175","           81.66"
"20-Mar-2007","-","-","-","     2620.27","        3866481","          146.71"
"21-Mar-2007","-","-","-","     2634.07","        2033500","           98.81"
"22-Mar-2007","-","-","-","     2652.69","        3303370","          138.30"
"23-Mar-2007","-","-","-","     2659.18","        2296500","           92.99"
"26-Mar-2007","-","-","-","     2643.15","        3104480","          155.62"
"28-Mar-2007","-","-","-","     2633.98","        5475452","          247.69"
"29-Mar-2007","-","-","-","     2658.75","        5779898","          258.22"
"30-Mar-2007","-","-","-","     2720.26","        4403914","          212.11"
"02-Apr-2007","-","-","-","     2646.25","        4361455","          202.75"
"03-Apr-2007","-","-","-","     2660.18","        3225291","          129.81"
"04-Apr-2007","-","-","-","     2706.84","        3032665","          150.71"
"05-Apr-2007","-","-","-","     2699.05","        2558844","          120.51"
"09-Apr-2007","-","-","-","     2725.80","        2269875","          113.30"
"10-Apr-2007","-","-","-","     2756.17","        2218139","          126.70"
"11-Apr-2007","-","-","-","     2730.04","        3469483","          177.65"
"12-Apr-2007","-","-","-","     2721.50","        3912968","          201.82"
"13-Apr-2007","-","-","-","     2740.90","        4645865","          206.67"
"16-Apr-2007","-","-","-","     2764.79","        3969439","          177.69"
"17-Apr-2007","-","-","-","     2761.21","        3840469","          186.28"
"18-Apr-2007","-","-","-","     2801.85","        3054178","          174.78"
