"Date","Open","High","Low","Close","Shares Traded","Turnover (Rs. Cr)"
"01-Jan-1998","        0.00","        0.00","        0.00","     2410.43","         157366","            1.52"
"02-Jan-1998","        0.00","        0.00","        0.00","     2429.36","         203887","            2.73"
"05-Jan-1998","        0.00","        0.00","        0.00","     2488.23","         803204","           10.41"
"06-Jan-1998","        0.00","        0.00","        0.00","     2476.99","         258527","            8.57"
"07-Jan-1998","        0.00","        0.00","        0.00","     2494.85","         205469","            3.69"
"08-Jan-1998","        0.00","        0.00","        0.00","     2454.52","         207124","            5.08"
"09-Jan-1998","        0.00","        0.00","        0.00","     2390.14","         300658","            6.80"
"12-Jan-1998","        0.00","        0.00","        0.00","     2323.10","         198333","            6.55"
"13-Jan-1998","        0.00","        0.00","        0.00","     2336.11","         250077","            7.59"
"14-Jan-1998","        0.00","        0.00","        0.00","     2384.22","         215855","            5.77"
"15-Jan-1998","        0.00","        0.00","        0.00","     2375.88","          98378","            2.62"
"16-Jan-1998","        0.00","        0.00","        0.00","     2376.91","         245628","            6.59"
"19-Jan-1998","        0.00","        0.00","        0.00","     2381.47","          95730","            1.74"
"20-Jan-1998","        0.00","        0.00","        0.00","     2368.74","         128190","            1.67"
"21-Jan-1998","        0.00","        0.00","        0.00","     2359.22","         113051","            3.68"
"22-Jan-1998","        0.00","        0.00","        0.00","     2356.56","         141221","            2.88"
"23-Jan-1998","        0.00","        0.00","        0.00","     2360.83","         218508","            4.11"
"27-Jan-1998","        0.00","        0.00","        0.00","     2356.53","         327297","            7.25"
"28-Jan-1998","        0.00","        0.00","        0.00","     2356.88","         254896","            7.11"
"29-Jan-1998","        0.00","        0.00","        0.00","     2324.85","         144504","            3.68"
"02-Feb-1998","        0.00","        0.00","        0.00","     2376.00","         212090","            5.37"
"03-Feb-1998","        0.00","        0.00","        0.00","     2350.90","         237424","            8.66"
"04-Feb-1998","        0.00","        0.00","        0.00","     2319.86","         154010","            3.90"
"05-Feb-1998","        0.00","        0.00","        0.00","     2337.13","         405987","            7.02"
"06-Feb-1998","        0.00","        0.00","        0.00","     2330.31","         182002","            3.58"
"09-Feb-1998","        0.00","        0.00","        0.00","     2314.29","         195273","            7.22"
"10-Feb-1998","        0.00","        0.00","        0.00","     2301.25","         267754","           10.02"
"11-Feb-1998","        0.00","        0.00","        0.00","     2289.69","         119905","            3.58"
"12-Feb-1998","        0.00","        0.00","        0.00","     2296.11","         357091","            5.74"
"13-Feb-1998","        0.00","        0.00","        0.00","     2315.11","         217759","            4.93"
"16-Feb-1998","        0.00","        0.00","        0.00","     2390.76","         146493","            3.03"
"17-Feb-1998","        0.00","        0.00","        0.00","     2381.35","         159296","            2.92"
"18-Feb-1998","        0.00","        0.00","        0.00","     2374.89","         158105","            6.00"
"19-Feb-1998","        0.00","        0.00","        0.00","     2390.16","         148336","            5.67"
"20-Feb-1998","        0.00","        0.00","        0.00","     2414.82","         429894","            7.06"
"23-Feb-1998","        0.00","        0.00","        0.00","     2548.17","         672444","           14.16"
"24-Feb-1998","        0.00","        0.00","        0.00","     2558.20","         446315","           11.07"
"26-Feb-1998","        0.00","        0.00","        0.00","     2691.43","         405942","            7.28"
"27-Feb-1998","        0.00","        0.00","        0.00","     2755.26","         437822","           10.43"
"02-Mar-1998","        0.00","        0.00","        0.00","     2932.74","         503548","           14.24"
"03-Mar-1998","        0.00","        0.00","        0.00","     2778.87","         745424","           22.61"
"04-Mar-1998","        0.00","        0.00","        0.00","     2872.83","         417452","           11.82"
"05-Mar-1998","        0.00","        0.00","        0.00","     2834.50","         393470","           13.12"
"06-Mar-1998","        0.00","        0.00","        0.00","     2831.70","         668771","           13.32"
"09-Mar-1998","        0.00","        0.00","        0.00","     2875.12","         506706","           15.21"
"10-Mar-1998","        0.00","        0.00","        0.00","     2830.86","         752523","           17.75"
"11-Mar-1998","        0.00","        0.00","        0.00","     2781.01","         812674","           17.65"
"12-Mar-1998","        0.00","        0.00","        0.00","     2764.15","         677017","           12.23"
"16-Mar-1998","        0.00","        0.00","        0.00","     2852.10","         476021","           16.48"
"17-Mar-1998","        0.00","        0.00","        0.00","     2886.61","         562764","           22.13"
"18-Mar-1998","        0.00","        0.00","        0.00","     2966.87","         841718","           35.20"
"19-Mar-1998","        0.00","        0.00","        0.00","     2994.31","         700750","           17.57"
"20-Mar-1998","        0.00","        0.00","        0.00","     3052.65","         773188","           20.01"
"23-Mar-1998","        0.00","        0.00","        0.00","     3224.00","        1056275","           21.04"
"24-Mar-1998","        0.00","        0.00","        0.00","     3233.54","        2341886","           48.26"
"25-Mar-1998","        0.00","        0.00","        0.00","     3270.09","        1808470","           38.66"
"26-Mar-1998","        0.00","        0.00","        0.00","     3199.54","        1003998","           23.20"
"27-Mar-1998","        0.00","        0.00","        0.00","     3259.23","        1091574","           30.73"
"30-Mar-1998","        0.00","        0.00","        0.00","     3355.38","        2057170","           58.99"
"31-Mar-1998","        0.00","        0.00","        0.00","     3422.16","        1805659","           64.61"
"01-Apr-1998","        0.00","        0.00","        0.00","     3697.59","        2401312","           76.31"
"02-Apr-1998","        0.00","        0.00","        0.00","     3703.51","        1666382","           52.66"
"03-Apr-1998","        0.00","        0.00","        0.00","     3759.37","        2206254","           51.58"
"06-Apr-1998","        0.00","        0.00","        0.00","     4026.78","        2283759","           62.21"
"07-Apr-1998","        0.00","        0.00","        0.00","     4309.14","        2551604","           70.08"
"08-Apr-1998","        0.00","        0.00","        0.00","     4415.02","        3121577","           77.52"
"10-Apr-1998","        0.00","        0.00","        0.00","     4491.96","        2471418","           81.68"
"13-Apr-1998","        0.00","        0.00","        0.00","     4651.46","        3135370","          103.91"
