"Date","Open","High","Low","Close","Shares Traded","Turnover (Rs. Cr)"
"01-Jan-2002","        0.00","        0.00","        0.00","    18072.91","       79397260","         2053.35"
"02-Jan-2002","        0.00","        0.00","        0.00","    18489.08","       83052165","         2060.19"
"03-Jan-2002","        0.00","        0.00","        0.00","    19261.18","       88319636","         2338.73"
"04-Jan-2002","        0.00","        0.00","        0.00","    20229.92","       86485500","         2344.45"
"07-Jan-2002","        0.00","        0.00","        0.00","    20944.77","       67602018","         1982.32"
"08-Jan-2002","        0.00","        0.00","        0.00","    21279.90","       85382984","         2633.40"
"09-Jan-2002","        0.00","        0.00","        0.00","    19955.74","       93287426","         2675.06"
"10-Jan-2002","        0.00","        0.00","        0.00","    18750.79","       88119902","         2890.75"
"11-Jan-2002","        0.00","        0.00","        0.00","    17829.25","       83955349","         2550.16"
"14-Jan-2002","        0.00","        0.00","        0.00","    18524.32","       65644319","         1927.66"
"15-Jan-2002","        0.00","        0.00","        0.00","    18279.82","       64185082","         1844.30"
"16-Jan-2002","        0.00","        0.00","        0.00","    18617.17","       60771550","         2016.98"
"17-Jan-2002","        0.00","        0.00","        0.00","    19456.36","       82759205","         2666.69"
"18-Jan-2002","        0.00","        0.00","        0.00","    18239.66","       85496544","         2727.78"
"21-Jan-2002","        0.00","        0.00","        0.00","    18233.21","       73449172","         2176.92"
"22-Jan-2002","        0.00","        0.00","        0.00","    18245.72","       58629299","         1805.41"
"23-Jan-2002","        0.00","        0.00","        0.00","    17877.02","       48670996","         1491.35"
"24-Jan-2002","        0.00","        0.00","        0.00","    17814.56","       48435606","         1430.51"
"25-Jan-2002","        0.00","        0.00","        0.00","    17797.90","       73094510","         2072.48"
"28-Jan-2002","        0.00","        0.00","        0.00","    17295.17","       54829951","         1557.26"
"29-Jan-2002","        0.00","        0.00","        0.00","    17626.69","       67168737","         1881.81"
"30-Jan-2002","        0.00","        0.00","        0.00","    17447.89","       49033106","         1400.72"
"31-Jan-2002","        0.00","        0.00","        0.00","    18362.80","       60327819","         1873.99"
"01-Feb-2002","        0.00","        0.00","        0.00","    17828.35","       58226217","         1644.47"
"04-Feb-2002","        0.00","        0.00","        0.00","    17912.16","       39567235","         1216.58"
"05-Feb-2002","        0.00","        0.00","        0.00","    17798.80","       42457536","         1331.72"
"06-Feb-2002","        0.00","        0.00","        0.00","    19250.78","       53107841","         1609.71"
"07-Feb-2002","        0.00","        0.00","        0.00","    18109.60","       67068154","         2199.07"
"08-Feb-2002","        0.00","        0.00","        0.00","    18562.61","       52506879","         1708.62"
"11-Feb-2002","        0.00","        0.00","        0.00","    18420.60","       43684595","         1472.47"
"12-Feb-2002","        0.00","        0.00","        0.00","    18885.63","       44004042","         1394.40"
"13-Feb-2002","        0.00","        0.00","        0.00","    18727.17","       41159234","         1372.28"
"14-Feb-2002","        0.00","        0.00","        0.00","    19030.53","       34568616","         1080.01"
"15-Feb-2002","        0.00","        0.00","        0.00","    18652.56","       28032522","          908.55"
"18-Feb-2002","        0.00","        0.00","        0.00","    18603.86","       26838014","          820.55"
"19-Feb-2002","        0.00","        0.00","        0.00","    18605.10","       39784646","         1176.17"
"20-Feb-2002","        0.00","        0.00","        0.00","    18105.49","       30814818","          932.49"
"21-Feb-2002","        0.00","        0.00","        0.00","    18123.83","       24359654","          739.44"
"22-Feb-2002","        0.00","        0.00","        0.00","    18255.03","       29011627","          860.53"
"25-Feb-2002","        0.00","        0.00","        0.00","    18366.00","       22915552","          716.38"
"26-Feb-2002","        0.00","        0.00","        0.00","    18731.84","       24017815","          820.43"
"27-Feb-2002","        0.00","        0.00","        0.00","    18775.60","       36939064","         1182.66"
"28-Feb-2002","        0.00","        0.00","        0.00","    17554.44","       42543400","         1389.94"
"01-Mar-2002","        0.00","        0.00","        0.00","    18046.80","       41025277","         1160.93"
"04-Mar-2002","        0.00","        0.00","        0.00","    18678.09","       32838130","         1085.86"
"05-Mar-2002","        0.00","        0.00","        0.00","    19266.44","       34241246","         1310.14"
"06-Mar-2002","        0.00","        0.00","        0.00","    19408.42","       30716684","         1152.92"
"07-Mar-2002","        0.00","        0.00","        0.00","    20229.37","       39643181","         1591.57"
"08-Mar-2002","        0.00","        0.00","        0.00","    20334.42","       53099436","         1876.55"
"11-Mar-2002","        0.00","        0.00","        0.00","    20003.39","       42593215","         1608.64"
"12-Mar-2002","        0.00","        0.00","        0.00","    19716.92","       35477800","         1387.67"
"13-Mar-2002","        0.00","        0.00","        0.00","    19488.33","       47622314","         1524.51"
"14-Mar-2002","        0.00","        0.00","        0.00","    19417.48","       41971544","         1299.38"
"15-Mar-2002","        0.00","        0.00","        0.00","    19449.01","       46183539","         1391.05"
"18-Mar-2002","        0.00","        0.00","        0.00","    19493.24","       51599861","         1329.52"
"19-Mar-2002","        0.00","        0.00","        0.00","    19080.39","       42996175","         1241.97"
"20-Mar-2002","        0.00","        0.00","        0.00","    18980.49","       40081908","         1265.82"
"21-Mar-2002","        0.00","        0.00","        0.00","    18831.92","       35854068","         1022.80"
"22-Mar-2002","        0.00","        0.00","        0.00","    18739.84","       41129005","         1267.21"
"26-Mar-2002","        0.00","        0.00","        0.00","    18154.08","       28600544","          919.16"
"27-Mar-2002","        0.00","        0.00","        0.00","    18225.80","       38913254","         1088.82"
"28-Mar-2002","        0.00","        0.00","        0.00","    18557.80","       35672763","         1231.15"
"01-Apr-2002","        0.00","        0.00","        0.00","    18207.08","       29544328","         1005.26"
"02-Apr-2002","        0.00","        0.00","        0.00","    18059.74","       41754850","         1337.98"
"03-Apr-2002","        0.00","        0.00","        0.00","    17786.16","       30718564","          893.24"
"04-Apr-2002","        0.00","        0.00","        0.00","    18663.07","       30594577","         1062.13"
"05-Apr-2002","        0.00","        0.00","        0.00","    18386.34","       26088317","          970.55"
"08-Apr-2002","        0.00","        0.00","        0.00","    18074.86","       26731041","          841.08"
"09-Apr-2002","        0.00","        0.00","        0.00","    17991.36","       36049651","         1094.64"
"10-Apr-2002","        0.00","        0.00","        0.00","    19036.82","       60665084","         2016.04"
"11-Apr-2002","        0.00","        0.00","        0.00","    19281.72","       56784934","         1868.34"
"12-Apr-2002","        0.00","        0.00","        0.00","    19307.57","       59573746","         1577.68"
"15-Apr-2002","        0.00","        0.00","        0.00","    19082.81","       66373160","         1513.39"
"16-Apr-2002","        0.00","        0.00","        0.00","    18901.52","       57865602","         1363.21"
"17-Apr-2002","        0.00","        0.00","        0.00","    19630.77","       53171312","         1526.95"
"18-Apr-2002","        0.00","        0.00","        0.00","    19895.12","       47488028","         1413.12"
"19-Apr-2002","        0.00","        0.00","        0.00","    18672.69","       72890479","         1907.69"
"22-Apr-2002","        0.00","        0.00","        0.00","    18808.77","       54757584","         1486.70"
"23-Apr-2002","        0.00","        0.00","        0.00","    18658.98","       54429530","         1591.65"
"24-Apr-2002","        0.00","        0.00","        0.00","    18666.08","       54570788","         1394.36"
"25-Apr-2002","        0.00","        0.00","        0.00","    18187.05","       52366554","         1365.62"
"26-Apr-2002","        0.00","        0.00","        0.00","    18165.06","       43062921","         1177.53"
"29-Apr-2002","        0.00","        0.00","        0.00","    17580.35","       55754000","         1272.56"
"30-Apr-2002","        0.00","        0.00","        0.00","    17936.80","       55471701","         1247.67"
"02-May-2002","        0.00","        0.00","        0.00","    18050.07","       45607915","         1331.22"
"03-May-2002","        0.00","        0.00","        0.00","    18075.87","       37888400","          917.54"
"06-May-2002","        0.00","        0.00","        0.00","    18109.42","       40890587","         1035.71"
"07-May-2002","        0.00","        0.00","        0.00","    18170.92","       55348392","         1308.41"
"08-May-2002","        0.00","        0.00","        0.00","    18581.17","       77776805","         1731.65"
"09-May-2002","        0.00","        0.00","        0.00","    18785.58","       62559169","         1463.57"
"10-May-2002","        0.00","        0.00","        0.00","    18515.35","       51589297","         1223.50"
"13-May-2002","        0.00","        0.00","        0.00","    18555.32","       44235334","         1147.96"
"14-May-2002","        0.00","        0.00","        0.00","    18518.04","       54862790","         1361.59"
"15-May-2002","        0.00","        0.00","        0.00","    18397.02","       65127266","         1649.14"
"16-May-2002","        0.00","        0.00","        0.00","    17967.17","       50786508","         1318.41"
"17-May-2002","        0.00","        0.00","        0.00","    18019.75","       57456203","         1318.89"
"20-May-2002","        0.00","        0.00","        0.00","    17616.07","       44828191","         1065.14"
