"Date","Open","High","Low","Close","Shares Traded","Turnover (Rs. Cr)"
"01-Jan-2003","-","-","-","     1221.38","-","-"
"02-Jan-2003","-","-","-","     1225.33","-","-"
"03-Jan-2003","-","-","-","     1208.27","-","-"
"06-Jan-2003","-","-","-","     1181.49","-","-"
"07-Jan-2003","-","-","-","     1191.95","-","-"
"08-Jan-2003","-","-","-","     1201.06","-","-"
"09-Jan-2003","-","-","-","     1229.66","-","-"
"10-Jan-2003","-","-","-","     1244.56","-","-"
"13-Jan-2003","-","-","-","     1254.52","-","-"
"14-Jan-2003","-","-","-","     1252.20","-","-"
"15-Jan-2003","-","-","-","     1263.38","-","-"
"16-Jan-2003","-","-","-","     1272.59","-","-"
"17-Jan-2003","-","-","-","     1287.98","-","-"
"20-Jan-2003","-","-","-","     1298.18","-","-"
"21-Jan-2003","-","-","-","     1346.59","-","-"
"22-Jan-2003","-","-","-","     1345.86","-","-"
"23-Jan-2003","-","-","-","     1335.45","-","-"
"24-Jan-2003","-","-","-","     1305.28","-","-"
"27-Jan-2003","-","-","-","     1284.41","-","-"
"28-Jan-2003","-","-","-","     1298.95","-","-"
"29-Jan-2003","-","-","-","     1291.41","-","-"
"30-Jan-2003","-","-","-","     1274.96","-","-"
"31-Jan-2003","-","-","-","     1273.62","-","-"
"03-Feb-2003","-","-","-","     1295.99","-","-"
"04-Feb-2003","-","-","-","     1310.24","-","-"
"05-Feb-2003","-","-","-","     1300.56","-","-"
"06-Feb-2003","-","-","-","     1335.46","-","-"
"07-Feb-2003","-","-","-","     1319.52","-","-"
"10-Feb-2003","-","-","-","     1291.14","-","-"
"11-Feb-2003","-","-","-","     1289.73","-","-"
"12-Feb-2003","-","-","-","     1306.80","-","-"
"14-Feb-2003","-","-","-","     1296.76","-","-"
"17-Feb-2003","-","-","-","     1327.68","-","-"
"18-Feb-2003","-","-","-","     1336.19","-","-"
"19-Feb-2003","-","-","-","     1371.27","-","-"
"20-Feb-2003","-","-","-","     1362.60","-","-"
"21-Feb-2003","-","-","-","     1366.71","-","-"
"24-Feb-2003","-","-","-","     1374.00","-","-"
"25-Feb-2003","-","-","-","     1343.73","-","-"
"26-Feb-2003","-","-","-","     1322.99","-","-"
"27-Feb-2003","-","-","-","     1341.38","-","-"
"28-Feb-2003","-","-","-","     1306.02","-","-"
"03-Mar-2003","-","-","-","     1323.41","-","-"
"04-Mar-2003","-","-","-","     1317.45","-","-"
"05-Mar-2003","-","-","-","     1307.29","-","-"
"06-Mar-2003","-","-","-","     1293.20","-","-"
"07-Mar-2003","-","-","-","     1267.90","-","-"
"10-Mar-2003","-","-","-","     1250.81","-","-"
"11-Mar-2003","-","-","-","     1262.20","-","-"
"12-Mar-2003","-","-","-","     1265.65","-","-"
"13-Mar-2003","-","-","-","     1261.89","-","-"
"17-Mar-2003","-","-","-","     1253.50","-","-"
"19-Mar-2003","-","-","-","     1265.82","-","-"
"20-Mar-2003","-","-","-","     1292.33","-","-"
"21-Mar-2003","-","-","-","     1301.23","-","-"
"22-Mar-2003","-","-","-","     1303.10","-","-"
"24-Mar-2003","-","-","-","     1278.33","-","-"
"25-Mar-2003","-","-","-","     1272.55","-","-"
"26-Mar-2003","-","-","-","     1280.06","-","-"
"27-Mar-2003","-","-","-","     1265.90","-","-"
"28-Mar-2003","-","-","-","     1289.04","-","-"
"31-Mar-2003","-","-","-","     1265.19","-","-"
"01-Apr-2003","-","-","-","     1276.41","-","-"
"02-Apr-2003","-","-","-","     1291.94","-","-"
"03-Apr-2003","-","-","-","     1312.14","-","-"
"04-Apr-2003","-","-","-","     1341.38","-","-"
"07-Apr-2003","-","-","-","     1361.65","-","-"
"08-Apr-2003","-","-","-","     1357.96","-","-"
"09-Apr-2003","-","-","-","     1330.50","-","-"
"10-Apr-2003","-","-","-","     1338.76","-","-"
"11-Apr-2003","-","-","-","     1337.40","-","-"
"15-Apr-2003","-","-","-","     1333.70","-","-"
"16-Apr-2003","-","-","-","     1350.62","-","-"
"17-Apr-2003","-","-","-","     1343.11","-","-"
"21-Apr-2003","-","-","-","     1341.87","-","-"
"22-Apr-2003","-","-","-","     1335.35","-","-"
"23-Apr-2003","-","-","-","     1307.99","-","-"
"24-Apr-2003","-","-","-","     1312.44","-","-"
"25-Apr-2003","-","-","-","     1311.52","-","-"
"28-Apr-2003","-","-","-","     1338.51","-","-"
"29-Apr-2003","-","-","-","     1315.72","-","-"
"30-Apr-2003","-","-","-","     1314.71","-","-"
"02-May-2003","-","-","-","     1342.61","-","-"
"05-May-2003","-","-","-","     1368.05","-","-"
"06-May-2003","-","-","-","     1371.40","-","-"
"07-May-2003","-","-","-","     1354.40","-","-"
"08-May-2003","-","-","-","     1358.45","-","-"
"09-May-2003","-","-","-","     1372.69","-","-"
"12-May-2003","-","-","-","     1427.48","-","-"
"13-May-2003","-","-","-","     1433.12","-","-"
"14-May-2003","-","-","-","     1470.89","-","-"
"15-May-2003","-","-","-","     1495.98","-","-"
"16-May-2003","-","-","-","     1494.09","-","-"
"19-May-2003","-","-","-","     1484.23","-","-"
"20-May-2003","-","-","-","     1512.42","-","-"
"21-May-2003","-","-","-","     1528.28","-","-"
"22-May-2003","-","-","-","     1527.12","-","-"
"23-May-2003","-","-","-","     1552.77","-","-"
"26-May-2003","-","-","-","     1605.39","-","-"
"27-May-2003","-","-","-","     1583.42","-","-"
"28-May-2003","-","-","-","     1641.98","-","-"
"29-May-2003","-","-","-","     1665.19","-","-"
"30-May-2003","-","-","-","     1630.94","-","-"
"02-Jun-2003","-","-","-","     1538.83","-","-"
"03-Jun-2003","-","-","-","     1573.74","-","-"
"04-Jun-2003","-","-","-","     1617.50","-","-"
"05-Jun-2003","-","-","-","     1600.40","-","-"
"06-Jun-2003","-","-","-","     1610.91","-","-"
"09-Jun-2003","-","-","-","     1607.99","-","-"
"10-Jun-2003","-","-","-","     1529.89","-","-"
"11-Jun-2003","-","-","-","     1567.45","-","-"
"12-Jun-2003","-","-","-","     1553.28","-","-"
"13-Jun-2003","-","-","-","     1543.23","-","-"
"16-Jun-2003","-","-","-","     1534.35","-","-"
"17-Jun-2003","-","-","-","     1568.19","-","-"
"18-Jun-2003","-","-","-","     1542.47","-","-"
"19-Jun-2003","-","-","-","     1562.89","-","-"
"20-Jun-2003","-","-","-","     1577.13","-","-"
"23-Jun-2003","-","-","-","     1560.88","-","-"
"24-Jun-2003","-","-","-","     1565.32","-","-"
"25-Jun-2003","-","-","-","     1605.89","-","-"
"26-Jun-2003","-","-","-","     1607.28","-","-"
"27-Jun-2003","-","-","-","     1626.30","-","-"
"30-Jun-2003","-","-","-","     1657.56","-","-"
"01-Jul-2003","-","-","-","     1647.20","-","-"
"02-Jul-2003","-","-","-","     1654.00","-","-"
"03-Jul-2003","-","-","-","     1738.82","-","-"
