"Date","P/E"
"01-Jan-2003","        6.98"
"02-Jan-2003","        7.00"
"03-Jan-2003","        6.90"
"06-Jan-2003","        6.75"
"07-Jan-2003","        6.81"
"08-Jan-2003","        6.86"
"09-Jan-2003","        7.03"
"10-Jan-2003","        7.11"
"13-Jan-2003","        7.17"
"14-Jan-2003","        7.16"
"15-Jan-2003","        7.22"
"16-Jan-2003","        7.27"
"17-Jan-2003","        7.36"
"20-Jan-2003","        7.42"
"21-Jan-2003","        7.70"
"22-Jan-2003","        7.69"
"23-Jan-2003","        7.63"
"24-Jan-2003","        7.46"
"27-Jan-2003","        7.34"
"28-Jan-2003","        7.42"
"29-Jan-2003","        7.38"
"30-Jan-2003","        7.29"
"31-Jan-2003","        7.28"
"03-Feb-2003","        7.41"
"04-Feb-2003","        7.49"
"05-Feb-2003","        7.43"
"06-Feb-2003","        7.63"
"07-Feb-2003","        7.54"
"10-Feb-2003","        7.38"
"11-Feb-2003","        7.37"
"12-Feb-2003","        7.47"
"14-Feb-2003","        7.41"
"17-Feb-2003","        7.59"
"18-Feb-2003","        7.64"
"19-Feb-2003","        7.84"
"20-Feb-2003","        7.79"
"21-Feb-2003","        7.81"
"24-Feb-2003","        7.85"
"25-Feb-2003","        7.68"
"26-Feb-2003","        7.56"
"27-Feb-2003","        7.67"
"28-Feb-2003","        7.46"
"03-Mar-2003","        7.37"
"04-Mar-2003","        7.34"
"05-Mar-2003","        7.28"
"06-Mar-2003","        7.20"
"07-Mar-2003","        7.06"
"10-Mar-2003","        6.97"
"11-Mar-2003","        7.03"
"12-Mar-2003","        7.05"
"13-Mar-2003","        7.03"
"17-Mar-2003","        6.98"
"19-Mar-2003","        7.05"
"20-Mar-2003","        7.20"
"21-Mar-2003","        7.25"
"22-Mar-2003","        7.26"
"24-Mar-2003","        7.12"
"25-Mar-2003","        7.09"
"26-Mar-2003","        7.13"
"27-Mar-2003","        7.05"
"28-Mar-2003","        7.18"
"31-Mar-2003","        4.54"
"01-Apr-2003","        4.58"
"02-Apr-2003","        4.63"
"03-Apr-2003","        4.70"
"04-Apr-2003","        4.81"
"07-Apr-2003","        4.88"
"08-Apr-2003","        4.87"
"09-Apr-2003","        4.77"
"10-Apr-2003","        4.80"
"11-Apr-2003","        4.80"
"15-Apr-2003","        4.78"
"16-Apr-2003","        4.84"
"17-Apr-2003","        4.82"
"21-Apr-2003","        4.81"
"22-Apr-2003","        4.79"
"23-Apr-2003","        4.69"
"24-Apr-2003","        4.71"
"25-Apr-2003","        4.70"
"28-Apr-2003","        4.80"
"29-Apr-2003","        4.72"
"30-Apr-2003","        4.71"
"02-May-2003","        4.70"
"05-May-2003","        4.79"
"06-May-2003","        4.80"
"07-May-2003","        4.74"
"08-May-2003","        4.76"
"09-May-2003","        4.81"
"12-May-2003","        5.00"
