"Date","P/E"
"01-Jan-2014","       49.38"
"02-Jan-2014","       49.11"
"03-Jan-2014","       49.35"
"06-Jan-2014","       49.57"
"07-Jan-2014","       49.68"
"08-Jan-2014","       50.27"
"09-Jan-2014","       50.63"
"10-Jan-2014","       50.75"
"13-Jan-2014","       50.42"
"14-Jan-2014","       50.78"
"15-Jan-2014","       50.81"
"16-Jan-2014","       50.34"
"17-Jan-2014","       50.34"
"20-Jan-2014","       50.32"
"21-Jan-2014","       50.06"
"22-Jan-2014","       50.85"
"23-Jan-2014","       51.02"
"24-Jan-2014","       50.31"
"27-Jan-2014","       50.27"
"28-Jan-2014","       49.77"
"29-Jan-2014","       50.10"
"30-Jan-2014","       49.89"
"31-Jan-2014","       50.00"
"03-Feb-2014","       50.97"
"04-Feb-2014","       50.08"
"05-Feb-2014","       50.10"
"06-Feb-2014","       49.40"
"07-Feb-2014","       49.05"
"10-Feb-2014","       49.45"
"11-Feb-2014","       49.22"
"12-Feb-2014","       49.11"
"13-Feb-2014","       48.23"
"14-Feb-2014","       48.16"
"17-Feb-2014","       48.46"
"18-Feb-2014","       48.61"
"19-Feb-2014","       49.17"
"20-Feb-2014","       49.26"
"21-Feb-2014","       46.62"
"24-Feb-2014","       47.22"
"25-Feb-2014","       47.20"
"26-Feb-2014","       47.69"
"28-Feb-2014","       48.82"
"03-Mar-2014","       47.92"
"04-Mar-2014","       47.67"
"05-Mar-2014","       47.58"
"06-Mar-2014","       47.46"
"07-Mar-2014","       46.59"
"10-Mar-2014","       45.73"
"11-Mar-2014","       45.34"
"12-Mar-2014","       45.93"
"13-Mar-2014","       45.36"
"14-Mar-2014","       45.82"
"18-Mar-2014","       45.85"
"19-Mar-2014","       46.06"
"20-Mar-2014","       46.13"
"21-Mar-2014","       45.94"
"22-Mar-2014","       46.23"
"24-Mar-2014","       45.95"
"25-Mar-2014","       45.95"
"26-Mar-2014","       45.00"
"27-Mar-2014","       44.58"
"28-Mar-2014","       45.02"
"31-Mar-2014","       45.01"
"01-Apr-2014","       45.19"
"02-Apr-2014","       45.78"
"03-Apr-2014","       46.25"
"04-Apr-2014","       46.27"
"07-Apr-2014","       46.16"
"09-Apr-2014","       47.36"
"10-Apr-2014","       46.47"
"11-Apr-2014","       46.98"
"15-Apr-2014","       46.61"
"16-Apr-2014","       46.47"
"17-Apr-2014","       46.85"
"21-Apr-2014","       47.20"
"22-Apr-2014","       47.32"
"23-Apr-2014","       47.52"
"25-Apr-2014","       47.61"
"28-Apr-2014","       48.40"
"29-Apr-2014","       48.31"
"30-Apr-2014","       48.27"
"02-May-2014","       48.61"
"05-May-2014","       48.14"
"06-May-2014","       48.19"
"07-May-2014","       48.09"
"08-May-2014","       48.26"
"09-May-2014","       47.55"
"12-May-2014","       47.14"
"13-May-2014","       42.95"
"14-May-2014","       39.55"
"15-May-2014","       39.45"
"16-May-2014","       38.86"
"19-May-2014","       37.41"
"20-May-2014","       37.93"
"21-May-2014","       37.69"
"22-May-2014","       37.70"
"23-May-2014","       37.80"
"26-May-2014","       37.54"
"27-May-2014","       37.57"
"28-May-2014","       37.63"
"29-May-2014","       37.73"
"30-May-2014","       38.38"
"02-Jun-2014","       37.89"
"03-Jun-2014","       37.71"
"04-Jun-2014","       37.59"
"05-Jun-2014","       37.64"
"06-Jun-2014","       38.18"
"09-Jun-2014","       38.35"
"10-Jun-2014","       38.98"
"11-Jun-2014","       39.33"
"12-Jun-2014","       39.82"
"13-Jun-2014","       39.74"
"16-Jun-2014","       39.93"
"17-Jun-2014","       39.99"
"18-Jun-2014","       40.09"
"19-Jun-2014","       40.45"
"20-Jun-2014","       40.08"
"23-Jun-2014","       40.27"
"24-Jun-2014","       40.15"
"25-Jun-2014","       40.38"
"26-Jun-2014","       40.54"
"27-Jun-2014","       41.66"
"30-Jun-2014","       42.53"
"01-Jul-2014","       42.34"
"02-Jul-2014","       43.13"
"03-Jul-2014","       43.59"
"04-Jul-2014","       43.83"
"07-Jul-2014","       44.26"
"08-Jul-2014","       43.84"
"09-Jul-2014","       43.43"
"10-Jul-2014","       43.42"
"11-Jul-2014","       43.94"
"14-Jul-2014","       43.71"
"15-Jul-2014","       43.49"
"16-Jul-2014","       43.79"
"17-Jul-2014","       43.96"
"18-Jul-2014","       44.00"
"21-Jul-2014","       44.01"
"22-Jul-2014","       44.45"
"23-Jul-2014","       44.48"
"24-Jul-2014","       44.44"
"25-Jul-2014","       45.77"
"28-Jul-2014","       45.95"
"30-Jul-2014","       46.63"
"31-Jul-2014","       41.56"
"01-Aug-2014","       35.26"
"04-Aug-2014","       35.18"
"05-Aug-2014","       35.40"
"06-Aug-2014","       35.07"
"07-Aug-2014","       35.01"
"08-Aug-2014","       35.07"
"11-Aug-2014","       35.12"
"12-Aug-2014","       28.15"
"13-Aug-2014","       28.42"
"14-Aug-2014","       28.75"
"18-Aug-2014","       29.56"
"19-Aug-2014","       29.74"
"20-Aug-2014","       30.65"
"21-Aug-2014","       30.72"
"22-Aug-2014","       30.93"
"25-Aug-2014","       31.07"
"26-Aug-2014","       31.43"
"27-Aug-2014","       31.40"
"28-Aug-2014","       31.33"
"01-Sep-2014","       31.38"
"02-Sep-2014","       32.02"
"03-Sep-2014","       32.11"
"04-Sep-2014","       32.26"
"05-Sep-2014","       32.27"
"08-Sep-2014","       32.58"
"09-Sep-2014","       32.64"
"10-Sep-2014","       32.57"
"11-Sep-2014","       31.95"
"12-Sep-2014","       32.17"
"15-Sep-2014","       32.40"
"16-Sep-2014","       32.07"
"17-Sep-2014","       32.14"
"18-Sep-2014","       32.74"
"19-Sep-2014","       32.90"
"22-Sep-2014","       32.58"
"23-Sep-2014","       31.90"
"24-Sep-2014","       32.21"
"25-Sep-2014","       32.26"
"26-Sep-2014","       32.63"
"29-Sep-2014","       33.28"
"30-Sep-2014","       33.71"
"01-Oct-2014","       33.55"
"07-Oct-2014","       32.83"
"08-Oct-2014","       31.70"
"09-Oct-2014","       32.08"
"10-Oct-2014","       32.10"
"13-Oct-2014","       31.65"
"14-Oct-2014","       31.72"
"16-Oct-2014","       31.37"
"17-Oct-2014","       31.63"
"20-Oct-2014","       32.05"
"21-Oct-2014","       31.96"
"22-Oct-2014","       32.48"
"23-Oct-2014","       32.64"
"27-Oct-2014","       32.74"
"28-Oct-2014","       34.02"
"29-Oct-2014","       33.95"
"30-Oct-2014","       34.43"
"31-Oct-2014","       36.16"
"03-Nov-2014","       36.17"
"05-Nov-2014","       36.61"
"07-Nov-2014","       37.43"
"10-Nov-2014","       37.69"
"11-Nov-2014","       37.72"
"12-Nov-2014","       37.43"
"13-Nov-2014","       37.28"
"14-Nov-2014","       36.76"
"17-Nov-2014","       36.73"
"18-Nov-2014","       36.63"
"19-Nov-2014","       37.31"
"20-Nov-2014","       37.69"
"21-Nov-2014","       37.60"
"24-Nov-2014","       37.43"
"25-Nov-2014","       37.57"
"26-Nov-2014","       37.49"
"27-Nov-2014","       37.72"
"28-Nov-2014","       36.17"
"01-Dec-2014","       36.17"
"02-Dec-2014","       36.40"
"03-Dec-2014","       36.40"
"04-Dec-2014","       36.35"
"05-Dec-2014","       35.82"
"08-Dec-2014","       35.72"
"09-Dec-2014","       35.63"
"10-Dec-2014","       35.72"
"11-Dec-2014","       35.78"
"12-Dec-2014","       35.86"
"15-Dec-2014","       35.67"
"16-Dec-2014","       34.66"
"17-Dec-2014","       33.98"
"18-Dec-2014","       34.40"
"19-Dec-2014","       34.49"
"22-Dec-2014","       34.80"
"23-Dec-2014","       34.84"
"24-Dec-2014","       34.41"
"26-Dec-2014","       34.51"
"29-Dec-2014","       34.80"
"30-Dec-2014","       34.92"
